trade_date,symbol,name,board,industry,close,pct_chg,turnover_pct,future_5_trade_date,future_5_return,future_5_direction,future_5_up_label,predicted_top_quantile_prob,predicted_non_top_quantile_prob,top_quantile_threshold,target_threshold,rank_by_raw_top_quantile_prob,overheat_penalty,overheat_penalty_reason,top_quantile_signal_score,predicted_top_quantile,rank_by_top_quantile_prob,actual_future_5_return_rank,actual_top_quantile_label,model_type,anchor_date,train_start,train_end,train_rows,train_dates,train_label_up_threshold,train_label_down_threshold,train_exclude_st,prediction_exclude_st,target_mode,top_quantile,overheat_penalty_enabled,anchor_stock_count,anchor_coverage_ratio,turnover_pct_feature,ret_5,ret_20,volatility_5,range_pos_20,market_up_ratio,market_avg_pct_chg,industry_up_ratio,industry_avg_pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,turnover_pct_pctile,ret_5_pctile,ret_20_pctile,volatility_5_pctile,range_pos_20_pctile,market_index_count,market_avg_up_prob,market_avg_down_prob,market_high_risk_count,weak_trend_count,rebound_count,pullback_count,low_risk_count,neutral_count,high_position_reversal_risk_count,exhausted_rebound_risk_count,aggregate_market_regime,aggregate_market_risk_level,is_overheat_candidate,is_weak_industry_candidate,is_volatility_industry_drag_candidate,is_medium_hot_short_broken_candidate,is_high_risk_intraday_break_candidate,is_high_risk_limit_up_chase_candidate,is_breadth_divergence_chase_candidate,is_medium_risk_crowded_momentum_candidate,is_medium_risk_late_trend_candidate,is_crowded_intraday_break_candidate,is_late_high_position_weakening_candidate,is_extreme_momentum_extension_candidate,is_extreme_weak_market_extension_candidate,is_rebound_crowded_chase_candidate,is_rebound_limit_up_volatility_candidate,is_weak_breadth_sideways_candidate,is_high_risk_pullback_short_weak_candidate,is_high_risk_pullback_crowded_candidate,is_trend_break_candidate,is_weak_market_low_position_candidate,is_high_risk_tail_chase_candidate,is_weak_market_weak_industry_down_candidate,is_backup_low_elastic_candidate,is_low_turnover_spike_fade_candidate,is_fragile_candidate,signal_eligible_rank,signal_action,signal_count,signal_reason,final_signal_rank,is_final_signal
2026-01-13,002899,英派斯,深市主板,文娱用品,31.95,-0.0313,5.3883,2026-01-20,0.0244131455399059,上涨,1.0,0.6511808176009455,0.3488191823990545,0.2,0.5,3,0.0,,0.6511808176009455,1,3,70.0,0.0,LightGBM,2026-01-13,2025-01-13,2026-01-05,36985,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,5.3883,0.166058394160584,0.2648456057007124,0.0359490477074756,0.894736842012927,0.3529411764705882,-1.0152628959276018,0.0,-0.0313,0,0,0,0,0,0.6255707762557078,0.958904109589041,0.9220183486238532,0.7853881278538812,0.9360730593607306,6,0.8649089801225961,0.13509101987740388,0,0,0,0,5,1,0,0,低风险,低风险,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,不出手,0,市场脆弱且候选股风险过多,3,0
2026-01-14,002380,科远智慧,深市主板,IT服务Ⅱ,32.06160853,4.3408,13.7588,2026-01-21,-0.0375659733002173,下跌,0.0,0.7141954980877392,0.2858045019122608,0.2,0.5,1,0.0,,0.7141954980877392,1,1,180.0,0.0,LightGBM,2026-01-14,2025-01-14,2026-01-06,37160,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,13.7588,0.1615578795528309,0.2140972483980399,0.0381982093563725,0.8532110090619712,0.4932126696832579,0.3797506787330316,1.0,4.75762,0,0,0,0,0,0.91324200913242,0.9452054794520548,0.8807339449541285,0.8036529680365296,0.8310502283105022,6,0.8922736542316195,0.10772634576838042,3,0,0,3,2,1,3,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,不出手,0,高风险高位回落且市场宽度不足,1,0
2026-01-14,600673,东阳光,沪市主板,综合Ⅱ,32.12,6.08,4.21,2026-01-21,-0.1080323785803237,下跌,0.0,0.6739634835013526,0.3260365164986474,0.2,0.5,2,0.0,,0.6739634835013526,1,2,204.0,0.0,LightGBM,2026-01-14,2025-01-14,2026-01-06,37160,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,4.21,0.1962756052141525,0.4494584837545126,0.0276009521180143,0.9101497503402534,0.4932126696832579,0.3797506787330316,1.0,6.08,0,0,0,0,0,0.5205479452054794,0.9634703196347032,0.9678899082568807,0.6529680365296804,0.9269406392694064,6,0.8922736542316195,0.10772634576838042,3,0,0,3,2,1,3,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,不出手,0,高风险高位回落且市场宽度不足,2,0
2026-01-14,000338,潍柴动力,深市主板,汽车零部件,19.39,2.0526,3.3232,2026-01-21,0.1634863331614233,上涨,1.0,0.6724392922049014,0.3275607077950986,0.2,0.5,3,0.0,,0.6724392922049014,1,3,9.0,1.0,LightGBM,2026-01-14,2025-01-14,2026-01-06,37160,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,3.3232,0.0881032547699214,0.0862745098039214,0.0212501803393586,0.8385964909338256,0.4932126696832579,0.3797506787330316,0.2,-1.03797,0,0,0,0,0,0.4292237442922374,0.8584474885844748,0.5458715596330275,0.4977168949771689,0.8036529680365296,6,0.8922736542316195,0.10772634576838042,3,0,0,3,2,1,3,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,不出手,0,高风险高位回落且市场宽度不足,3,0
2026-01-15,601698,中国卫通,沪市主板,航天装备Ⅱ,39.28,-9.9908,4.8602,2026-01-22,-0.0134928716904276,下跌,0.0,0.7418963559916024,0.2581036440083976,0.2,0.5,1,0.0,,0.7418963559916024,1,1,153.0,0.0,LightGBM,2026-01-15,2025-01-15,2026-01-07,37338,237,0.01,-0.01,1,1,top_quantile,0.2,0,220,0.9649122807017544,4.8602,-0.1178980462609476,0.6111566858080395,0.109531069532806,0.5241199478316779,0.536036036036036,1.1427590090090092,0.0,-9.9908,0,0,0,0,0,0.7272727272727273,0.0091324200913242,1.0,0.9908675799086758,0.2328767123287671,6,0.6593416652622776,0.3406583347377224,0,0,0,0,4,2,0,0,低风险,低风险,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,Top1,1,只保留Top1,1,0
2026-01-15,002552,宝鼎科技,深市主板,元件,18.8,2.7322,3.6452,2026-01-22,0.0196808510638297,上涨,1.0,0.701753501066712,0.298246498933288,0.2,0.5,2,0.0,,0.701753501066712,1,2,95.0,0.0,LightGBM,2026-01-15,2025-01-15,2026-01-07,37338,237,0.01,-0.01,1,1,top_quantile,0.2,0,220,0.9649122807017544,3.6452,0.0854503464203233,0.1764705882352941,0.0175552355929357,0.8160621759543879,0.536036036036036,1.1427590090090092,0.8571428571428571,1.5011714285714286,0,0,0,0,0,0.6045454545454545,0.8721461187214612,0.7981651376146789,0.365296803652968,0.7397260273972602,6,0.6593416652622776,0.3406583347377224,0,0,0,0,4,2,0,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,Top1,1,只保留Top1,2,0
2026-01-15,000338,潍柴动力,深市主板,汽车零部件,20.2,4.1774,2.9693,2026-01-22,0.106930693069307,上涨,1.0,0.6738470610095726,0.3261529389904274,0.2,0.5,3,0.0,,0.6738470610095726,1,3,22.0,1.0,LightGBM,2026-01-15,2025-01-15,2026-01-07,37338,237,0.01,-0.01,1,1,top_quantile,0.2,0,220,0.9649122807017544,2.9693,0.149032992036405,0.1562678878076704,0.0146485143988099,0.9329446061419984,0.536036036036036,1.1427590090090092,0.8095238095238095,11.002080952380952,0,0,0,0,0,0.4909090909090909,0.9680365296803652,0.7522935779816514,0.2511415525114155,0.9315068493150684,6,0.6593416652622776,0.3406583347377224,0,0,0,0,4,2,0,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Top1,1,只保留Top1,3,1
2026-01-16,002757,南兴股份,深市主板,专用设备,21.2431166,-10.0084,4.9937,2026-01-23,-0.019626168224299,下跌,0.0,0.7866063811665264,0.2133936188334736,0.2,0.5,1,0.0,,0.7866063811665264,1,1,190.0,0.0,LightGBM,2026-01-16,2025-01-16,2026-01-08,37515,237,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,4.9937,-0.144,0.361323155216285,0.0883744655084819,0.4196106704814196,0.5112107623318386,1.7680313901345293,0.2,-1.7863700000000002,0,0,0,0,0,0.6742081447963801,0.0091324200913242,0.9770642201834863,0.9817351598173516,0.2009132420091324,6,0.746480827247262,0.2535191727527379,0,0,0,0,3,3,0,0,低风险,低风险,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,不出手,0,Top候选全部脆弱,1,0
2026-01-16,920199,倍益康,北交所,小家电,44.29,-2.77,8.15,2026-01-23,0.0503499661323099,上涨,1.0,0.7131695690363032,0.2868304309636967,0.2,0.5,2,0.0,,0.7131695690363032,1,2,62.0,0.0,LightGBM,2026-01-16,2025-01-16,2026-01-08,37515,237,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,8.15,-0.1175532974696154,0.2690544412607449,0.0866925777345628,0.2984014209503138,0.5112107623318386,1.7680313901345293,0.75,1.4035,0,0,0,0,0,0.8416289592760181,0.0182648401826484,0.9403669724770642,0.9771689497716894,0.1095890410958904,6,0.746480827247262,0.2535191727527379,0,0,0,0,3,3,0,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,不出手,0,Top候选全部脆弱,2,0
2026-01-16,601698,中国卫通,沪市主板,航天装备Ⅱ,40.16,2.2403,4.5317,2026-01-23,0.0577689243027887,上涨,1.0,0.6824489436588299,0.3175510563411701,0.2,0.5,3,0.0,,0.6824489436588299,1,3,52.0,0.0,LightGBM,2026-01-16,2025-01-16,2026-01-08,37515,237,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,4.5317,-0.1800734993875051,0.6615639222176248,0.0924668719401776,0.552803129056297,0.5112107623318386,1.7680313901345293,1.0,2.2403,0,0,0,0,0,0.6425339366515838,0.0045662100456621,1.0,0.9863013698630136,0.3242009132420091,6,0.746480827247262,0.2535191727527379,0,0,0,0,3,3,0,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,不出手,0,Top候选全部脆弱,3,0
2026-01-19,601698,中国卫通,沪市主板,航天装备Ⅱ,39.79,-0.9213,3.1865,2026-01-26,-0.0392058306107062,下跌,0.0,0.7345431774911134,0.2654568225088866,0.2,0.5,1,0.0,,0.7345431774911134,1,1,192.0,0.0,LightGBM,2026-01-19,2025-01-20,2026-01-09,37660,236,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,3.1865,-0.2615070527097254,0.60702746365105,0.0594388831469442,0.5407431551323095,0.5919282511210763,0.9269807174887892,0.0,-0.9213,0,0,0,0,0,0.5158371040723982,0.0091324200913242,0.9908256880733946,0.95,0.3287671232876712,6,0.8252097427564175,0.17479025724358252,1,0,0,1,0,5,1,0,中性,低风险,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,Top1,1,只保留Top1,1,0
2026-01-19,002956,西麦食品,深市主板,休闲食品,19.96555565,5.5267,1.5693,2026-01-26,0.0052724077328647,上涨,1.0,0.6952913158810083,0.3047086841189916,0.2,0.5,2,0.0,,0.6952913158810083,1,2,86.0,0.0,LightGBM,2026-01-19,2025-01-20,2026-01-09,37660,236,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,1.5693,0.0241180705543555,0.141653290529695,0.0284109336019213,0.8296593184003552,0.5919282511210763,0.9269807174887892,1.0,5.5267,0,0,0,0,0,0.26244343891402716,0.6484018264840182,0.6513761467889908,0.6454545454545455,0.6757990867579908,6,0.8252097427564175,0.17479025724358252,1,0,0,1,0,5,1,0,中性,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,Top1,1,只保留Top1,2,0
2026-01-19,002552,宝鼎科技,深市主板,元件,18.72,2.8007,3.2006,2026-01-26,0.0689102564102566,上涨,1.0,0.694617438517017,0.305382561482983,0.2,0.5,3,0.0,,0.694617438517017,1,3,28.0,1.0,LightGBM,2026-01-19,2025-01-20,2026-01-09,37660,236,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,3.2006,0.0546478873239435,0.1498771498771496,0.029472608440844,0.7696793000671484,0.5919282511210763,0.9269807174887892,0.8571428571428571,1.3800285714285714,0,0,0,0,0,0.5248868778280543,0.821917808219178,0.6926605504587156,0.6818181818181818,0.6210045662100456,6,0.8252097427564175,0.17479025724358252,1,0,0,1,0,5,1,0,中性,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Top1,1,只保留Top1,3,1
2026-01-20,601698,中国卫通,沪市主板,航天装备Ⅱ,37.0,-7.0118,3.904,2026-01-27,0.0475675675675675,上涨,1.0,0.7582149200864786,0.2417850799135213,0.2,0.5,1,0.0,,0.7582149200864786,1,1,43.0,1.0,LightGBM,2026-01-20,2025-01-20,2026-01-12,37870,237,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,3.904,-0.2369560734171995,0.5071283095723014,0.0554392450246948,0.4498044328406191,0.3677130044843049,-0.6105139013452915,0.0,-7.0118,0,0,0,0,0,0.6425339366515838,0.0045662100456621,0.9908256880733946,0.9411764705882353,0.2968036529680365,6,0.8351141538216685,0.16488584617833144,0,0,0,0,1,5,0,0,中性,低风险,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,不出手,0,Top候选全部脆弱,1,0
2026-01-20,002757,南兴股份,深市主板,专用设备,19.80374655,0.2009,14.3004,2026-01-27,0.0350877192982455,上涨,1.0,0.7566694665484879,0.2433305334515121,0.2,0.5,2,0.0,,0.7566694665484879,1,2,59.0,0.0,LightGBM,2026-01-20,2025-01-20,2026-01-12,37870,237,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,14.3004,-0.2023190723710515,0.2586750788643532,0.069113673469162,0.3150684931278013,0.3677130044843049,-0.6105139013452915,0.6,0.2894599999999999,0,0,0,0,0,0.9547511312217195,0.0091324200913242,0.9311926605504587,0.9638009049773756,0.1780821917808219,6,0.8351141538216685,0.16488584617833144,0,0,0,0,1,5,0,0,中性,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,不出手,0,Top候选全部脆弱,2,0
2026-01-20,603618,杭电股份,沪市主板,电网设备,8.87,-2.5275,8.2988,2026-01-27,-0.0405862457722659,下跌,0.0,0.7015501223093252,0.2984498776906747,0.2,0.5,3,0.0,,0.7015501223093252,1,3,190.0,0.0,LightGBM,2026-01-20,2025-01-20,2026-01-12,37870,237,0.01,-0.01,1,1,top_quantile,0.2,0,221,0.9692982456140352,8.2988,0.05973715651135,0.1328224776500637,0.0370676437558061,0.7189542478961075,0.3677130044843049,-0.6105139013452915,0.2222222222222222,0.675488888888889,0,0,0,0,0,0.8733031674208145,0.8401826484018264,0.6926605504587156,0.8416289592760181,0.6073059360730594,6,0.8351141538216685,0.16488584617833144,0,0,0,0,1,5,0,0,中性,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,不出手,0,Top候选全部脆弱,3,0
2026-01-21,002757,南兴股份,深市主板,专用设备,19.66477289,-0.7018,11.5071,2026-01-28,0.1080262493690056,上涨,1.0,0.745543295122394,0.2544567048776059,0.2,0.5,1,0.0,,0.745543295122394,1,1,18.0,1.0,LightGBM,2026-01-21,2025-01-21,2026-01-13,38049,237,0.01,-0.01,1,1,top_quantile,0.2,0,222,0.9736842105263158,11.5071,-0.2501892505677517,0.2522123893805308,0.049540426180093,0.304974765659176,0.6294642857142857,1.7478879464285717,0.5,-0.02265,0,0,0,0,0,0.9324324324324325,0.0045662100456621,0.908256880733945,0.9230769230769231,0.16363636363636364,6,0.732411797052665,0.2675882029473351,2,0,0,2,0,4,2,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,Top2,2,合格候选Top2分数达标,1,0
