trade_date,index_code,index_name,open,high,low,close,preclose,volume,amount,pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,index_ret_1,index_ret_5,index_ret_10,index_ret_20,index_range_pos_20,index_close_ma_ratio_5,index_amount_ratio_5,index_volatility_5,index_close_ma_ratio_10,index_amount_ratio_10,index_volatility_10,index_close_ma_ratio_20,index_amount_ratio_20,index_volatility_20,index_body_pct,index_close_position_in_day,index_amount_change_1,future_5_trade_date,future_5_close,future_5_return,future_5_direction,future_5_up_label
2023-12-19,sh.000852,中证1000,5853.1945,5887.7653,5820.5131,5863.5419,5857.0052,11168267500,116256467570.0,0.111605,0,0,0,0,0,0.0011160481810739142,-0.03544141437050252,-0.021536293685397334,-0.05611334285771774,0.1072079753195347,-0.012325114153749706,0.8701133201189079,0.006292326463801121,-0.02087304410497659,0.7663931082982198,0.007814971998663043,-0.030955154104178484,0.7341952163916227,0.008682181890533769,0.0017678209736581559,0.6398125265790577,-0.11231773094519215,2023-12-26,5651.5883,-0.03614770792377209,下跌,0.0
2023-12-20,sh.000852,中证1000,5869.5605,5873.759,5761.3123,5761.3123,5863.5419,11163005300,120601845450.7,-1.743479,0,0,0,0,0,-0.01743478630211559,-0.042900327600731814,-0.043575673682322624,-0.0606000152878613,0.0,-0.02102816410981001,0.9350323690263579,0.007828426200044135,-0.03370843881115948,0.8128430556169253,0.00867962710820051,-0.044917065125279265,0.7791528968523771,0.009020486325060017,-0.018442300748071343,0.0,0.03737751517422949,2023-12-27,5696.1606,-0.011308482617753524,下跌,0.0
2023-12-21,sh.000852,中证1000,5739.0211,5814.0358,5685.6421,5798.912,5761.3123,12494910000,134047868867.1,0.652624,0,0,0,0,0,0.006526238822360142,-0.03220205844850599,-0.036858437334491234,-0.06431820040697855,0.22280470197563548,-0.008135217437728381,1.0469231343107919,0.01043493431831456,-0.02376862506730759,0.9239295863674952,0.009293836190933859,-0.035497235053858045,0.876192218256957,0.008742986789210403,0.010435734414707123,0.882207616105779,0.11149102541632772,2023-12-28,5805.5271,0.0011407484714374139,上涨,1.0
2023-12-22,sh.000852,中证1000,5797.6087,5819.65,5713.8045,5733.9089,5798.912,14116708500,147745244442.0,-1.120953,0,0,0,0,0,-0.011209533788407167,-0.03657695225265711,-0.04484893622816111,-0.06238313942528628,0.10285816331749363,-0.011895212920888132,1.1371706552733525,0.010651521091645669,-0.030316640892448676,1.0519728738291747,0.009581183415878835,-0.04327352125516337,0.9715695706758298,0.008631731241715325,-0.010987254107025094,0.18994099890878946,0.10218271793996281,2023-12-29,5887.235,0.02674023997835051,上涨,1.0
2023-12-25,sh.000852,中证1000,5726.5616,5753.4341,5698.3238,5735.7256,5733.9089,10963896300,116368993151.3,0.031683,0,0,0,0,0,0.0003168344722044303,-0.02070675983009196,-0.05586000881371167,-0.061465619690424744,0.1067296117105677,-0.007433278700211932,0.9162618207331794,0.009848701355993259,-0.024410556794391747,0.8686777633187494,0.007910871506529343,-0.039961786776509745,0.7789273687504134,0.008649502281542888,0.0016002621887451205,0.6786716820630526,-0.212367250189344,2024-01-02,5854.7494,0.020751306512989398,上涨,1.0
2023-12-26,sh.000852,中证1000,5734.1504,5734.5562,5632.8719,5651.5883,5735.7256,10406327600,112250605152.7,-1.466899,0,0,0,0,0,-0.014668989743860772,-0.03614770792377209,-0.07030799639920426,-0.08004054497406632,0.03585337974473766,-0.014765837948253147,0.8894454485726758,0.010265003992383061,-0.03168211404689558,0.864085570491492,0.008026969442796782,-0.05013577652802215,0.7602730368606728,0.008780839318400579,-0.014398314351852385,0.1840638131943699,-0.03539076765273186,2024-01-03,5824.0428,0.030514342313292753,上涨,1.0
2023-12-27,sh.000852,中证1000,5658.1935,5703.1686,5636.9431,5696.1606,5651.5883,10826535400,115290789797.9,0.788669,1,0,3,0,4,0.007886685588898823,-0.011308482617753524,-0.05372367260951649,-0.06824479345748313,0.12308649468927362,-0.004734798760848813,0.9212893130525253,0.010257508275008242,-0.01860753453090369,0.9073650804460295,0.009254865625852624,-0.03927620597365733,0.7902508926178543,0.00917823792294641,0.006710109861036008,0.8941797343923434,0.027083904278861537,2024-01-04,5783.0155,0.01524797246763021,上涨,1.0
2023-12-28,sh.000852,中证1000,5687.7533,5824.3953,5660.1296,5805.5271,5696.1606,14413438300,155833384642.4,1.920004,1,0,2,0,4,0.019200038004546505,0.0011407484714374139,-0.03109804442602082,-0.04522946701999009,0.3357870102858089,0.01413989677953964,1.2033670109153567,0.013886228923201982,0.003456707709222906,1.2101794795477343,0.012119737769652748,-0.018554038975090226,1.065530662593115,0.010466947699442394,0.020706559125903006,0.8851360935362653,0.351655105456121,2024-01-05,5675.8091,-0.022343879852012027,下跌,0.0
2023-12-29,sh.000852,中证1000,5797.5763,5891.627,5795.7569,5887.235,5805.5271,13469077800,152875806702.9,1.407416,1,0,1,0,4,0.014074157021848999,0.02674023997835051,-0.010814788755219351,-0.0396107634341053,0.49469593082646807,0.02293345058192897,1.1712474733932525,0.013233114317007758,0.01871285589517946,1.1739473699214722,0.013166081295260737,-0.0026940964815985735,1.0501407683893065,0.010854133291514172,0.0154648589963361,0.9541880106519057,-0.018979103523207974,2024-01-08,5543.5745,-0.05837383763345616,下跌,0.0
2024-01-02,sh.000852,中证1000,5891.1741,5891.2271,5854.5922,5854.7494,5887.235,12837767000,141351641579.1,-0.551797,0,1,0,1,4,-0.0055179723588407725,0.020751306512989398,-0.0003851456372276907,-0.04246426701484629,0.476904129109304,0.013098570310859703,1.0430281643434598,0.014022922237658629,0.013131172890247012,1.0768642599898164,0.012238851025938042,-0.006011226562552818,0.9830393228134917,0.010882826584826385,-0.006182927101068102,0.004290990285210217,-0.07538253025343733,2024-01-09,5553.3035,-0.051487412936922605,下跌,0.0
2024-01-03,sh.000852,中证1000,5838.5529,5861.4108,5785.2515,5824.0428,5854.7494,11924892500,131179260680.9,-0.524473,0,1,0,2,4,-0.0052447334466612094,0.030514342313292753,-0.006736389143906396,-0.0281276059743214,0.42349998482428924,0.0018060965638546644,0.9416614812538355,0.011203443737931158,0.008506894004799648,0.9881338648171181,0.01234093584535539,-0.00980762527840473,0.922344135180583,0.010084409655482816,-0.002485221980261498,0.5093442297920306,-0.0719650708301649,2024-01-10,5512.0686,-0.053566604970691545,下跌,0.0
2024-01-04,sh.000852,中证1000,5814.9372,5814.9372,5753.4666,5783.0155,5824.0428,10295253400,112642946169.6,-0.704447,0,1,0,3,4,-0.007044470895715249,0.01524797246763021,0.003767058418270519,-0.03997276737242894,0.33261240241827744,-0.008214571562637052,0.8116853973411865,0.012514565934916089,0.0010262924017971908,0.8536230300467361,0.011146316464478367,-0.014766315944206077,0.8036480444469628,0.010035390277058485,-0.005489603567859662,0.4806997166125012,-0.14130522168737092,2024-01-11,5611.1149,-0.029725080280348704,下跌,0.0
2024-01-05,sh.000852,中证1000,5779.7567,5796.759,5652.1261,5675.8091,5783.0155,11920519700,126682946916.8,-1.853815,0,0,0,0,0,-0.01853814847980262,-0.022343879852012027,-0.02122862012736182,-0.057304603697190926,0.09511857478516654,-0.022250115330476827,0.9528865180243148,0.011727357724356473,-0.015432885241410288,0.9654081677955879,0.012374072436029221,-0.030180416499645202,0.9169735008455109,0.01068397941349605,-0.017984770881445497,0.16374559315342538,0.12464163291734898,2024-01-12,5574.4926,-0.017850582747753196,下跌,0.0
2024-01-08,sh.000852,中证1000,5664.4526,5664.4526,5543.5745,5543.5745,5675.8091,11051272600,112633892924.6,-2.329793,0,0,0,0,0,-0.02329792945291287,-0.05837383763345616,-0.033194528081881614,-0.07655472503697447,0.0,-0.033587126487315766,0.9018060240133006,0.008404949721243471,-0.035185753589920155,0.8819433667684923,0.013866139659772065,-0.049041452584575596,0.8400596419149918,0.011617755207572527,-0.021339767235407692,0.0,-0.11089933044758438,2024-01-15,5559.376,0.0028504171811889467,上涨,1.0
2024-01-09,sh.000852,中证1000,5553.1836,5607.2178,5513.1298,5553.3035,5543.5745,11022322300,114678407169.2,0.1755,0,0,0,0,0,0.0017550048258574424,-0.051487412936922605,-0.03180453751134815,-0.08588794457935989,0.07033836342575617,-0.021607942261525737,0.9591423471206059,0.01022422509161504,-0.03041415318372609,0.8991425239188707,0.013915002357002305,-0.043090019717359485,0.877071354658946,0.011094672621655572,2.1591218413828165e-05,0.4269800612192841,0.01815185635081118,2024-01-16,5539.4741,-0.002490301493516367,下跌,0.0
2024-01-10,sh.000852,中证1000,5540.6641,5580.4191,5462.3615,5512.0686,5553.3035,10649944600,108158125143.0,-0.742529,0,0,0,0,0,-0.007425291990614258,-0.053566604970691545,-0.024686812378035494,-0.09325912846145701,0.08095626803530866,-0.01807867808185637,0.9408387083838644,0.009989210399553942,-0.03526355050998686,0.8507497125533583,0.013428160077582652,-0.045533345588403495,0.8415680076566319,0.011047399756652677,-0.005161023928521557,0.42104108502967696,-0.05685710315613102,2024-01-17,5389.1216,-0.02230505621791412,下跌,0.0
2024-01-11,sh.000852,中证1000,5507.803,5634.0247,5502.2938,5611.1149,5512.0686,12471774900,123635425166.1,1.796899,0,0,0,0,0,0.017968988992626,-0.029725080280348704,-0.014930355018431318,-0.06785191412299374,0.24375685371212444,0.0057250014631196056,1.055290112509823,0.01653076462933628,-0.016464226979043706,0.966149457870426,0.014613774745769572,-0.024934472932849117,0.9695821311206021,0.012086086792638619,0.018757370225478236,0.8260863624252136,0.14309881946119973,2024-01-18,5373.4239,-0.042360743673240386,下跌,0.0
